cpt,desc,status,work_rvu,pe_nonfac_rvu,pe_fac_rvu,mp_rvu
21510,Inc deep opng b1 crtx thorax,A,6.05,6.3,6.3,1.51
21550,Biopsy of neck/chest,A,2.06,5.78,1.94,0.3
21552,Exc neck les sc 3 cm/>,A,6.33,5.02,5.02,1.5
21554,Exc neck tum deep 5 cm/>,A,10.85,7.14,7.14,2.39
21555,Exc neck les sc < 3 cm,A,3.86,9.17,4.23,0.82
21556,Exc neck tum deep < 5 cm,A,7.47,5.76,5.76,1.48
21557,Resect neck thorax tumor<5cm,A,14.38,8.92,8.92,3.12
21558,Resect neck tumor 5 cm/>,A,21.04,11.03,11.03,4.5
21600,Partial removal of rib,A,7.08,8.24,8.24,1.68
21601,Exc chest wall tumor w/ribs,A,17.34,11.5,11.5,4.44
21602,Exc ch wal tum w/o lymphadec,A,21.64,18.83,18.83,5.31
21603,Exc ch wal tum w/lymphadec,A,24.54,19.34,19.34,6.18
21610,Costotransversectomy,A,15.51,14.38,14.38,6.55
21615,Excision 1st &/cervical rib,A,10.19,4.71,4.71,2.54
21616,Exc 1st&/crv rib w/sympth,A,12.37,4.41,4.41,3.16
21620,Ostectomy sternum partial,A,7.1,6.16,6.16,1.72
21627,Sternal debridement,A,7.12,7.81,7.81,1.7
21630,Radical resection sternum,A,18.7,12.88,12.88,3.47
21685,Hyoid myotomy & suspension,A,14.88,8.72,8.72,2.22
21700,Revision of neck muscle,A,6.15,2.23,2.23,1.57
21705,Revision of neck muscle/rib,A,9.67,2.65,2.65,2.48
21720,Revision of neck muscle,A,5.66,9.16,9.16,2.38
21725,Revision of neck muscle,A,7.01,6.94,6.94,1.48
21740,Reconstruction of sternum,A,17.13,8.19,8.19,4.31
21742,Repair stern/nuss w/o scope,C,0.0,0.0,0.0,0.0
21743,Repair sternum/nuss w/scope,C,0.0,0.0,0.0,0.0
21750,Repair of sternum separation,A,11.12,5.93,5.93,2.73
21811,Optx of rib fx w/fixj scope,A,10.52,3.19,3.19,2.6
21812,Treatment of rib fracture,A,12.68,3.87,3.87,3.07
21813,Treatment of rib fracture,A,17.17,4.92,4.92,4.6
21820,Treat sternum fracture,A,1.33,3.76,3.44,0.29
21825,Treat sternum fracture,A,7.57,7.44,7.44,1.87
21899,Unlisted px neck/thorax,C,0.0,0.0,0.0,0.0
21920,Biopsy soft tissue of back,A,2.06,5.54,1.9,0.3
21925,Biopsy soft tissue of back,A,4.51,10.72,5.62,1.03
21930,Exc back les sc < 3 cm,A,4.82,10.3,4.63,1.07
21931,Exc back les sc 3 cm/>,A,6.71,5.21,5.21,1.66
21932,Exc back tum deep < 5 cm,A,9.57,6.96,6.96,2.25
21933,Exc back tum deep 5 cm/>,A,10.85,7.47,7.47,2.64
21935,Resect back tum < 5 cm,A,15.33,9.68,9.68,3.61
21936,Resect back tum 5 cm/>,A,21.99,11.94,11.94,5.23
22010,I&d p-spine c/t/cerv-thor,A,12.43,12.05,12.05,3.99
22015,I&d abscess p-spine l/s/ls,A,12.32,11.66,11.66,3.62
22100,Remove part of neck vertebra,A,10.73,14.53,14.53,4.51
22101,Remove part thorax vertebra,A,10.8,11.75,11.75,3.43
22102,Remove part lumbar vertebra,A,10.8,8.47,8.47,1.75
22103,Remove extra spine segment,A,2.28,0.69,0.69,0.5
22110,Remove part of neck vertebra,A,13.65,12.46,12.46,4.4
22112,Remove part thorax vertebra,A,13.72,15.57,15.57,5.77
22114,Remove part lumbar vertebra,A,13.72,15.57,15.57,5.77
22116,Remove extra spine segment,A,2.26,0.75,0.75,0.76
22206,Incis spine 3 column thorac,A,36.25,20.14,20.14,12.03
22207,Incis spine 3 column lumbar,A,35.76,19.61,19.61,10.93
22208,Incis spine 3 column adl seg,A,9.42,3.19,3.19,3.2
22210,Incis 1 vertebral seg cerv,A,24.75,18.44,18.44,8.11
22212,Incis 1 vertebral seg thorac,A,20.47,16.78,16.78,6.34
22214,Incis 1 vertebral seg lumbar,A,20.49,16.58,16.58,6.17
22216,Incis addl spine segment,A,5.88,1.95,1.95,1.77
22220,Osteot dsc ant 1 vrt sgm crv,A,22.37,17.24,17.24,7.06
22222,Osteot dsc ant 1vrt sgm thrc,A,22.51,21.11,21.11,9.5
22224,Osteot dsc ant 1vrt sgm lmbr,A,22.51,16.07,16.07,5.74
22226,Osteot dsc ant 1vrt sgm ea,A,5.88,1.93,1.93,1.76
22310,Closed tx vert fx w/o manj,A,3.36,6.07,4.58,0.79
22315,Closed tx vert fx w/manj,A,9.86,17.69,10.23,2.54
22318,Treat odontoid fx w/o graft,A,22.15,17.52,17.52,8.97
22319,Treat odontoid fx w/graft,A,24.7,19.05,19.05,10.44
22325,Treat spine fracture,A,19.37,17.07,17.07,6.8
22326,Treat neck spine fracture,A,20.32,16.37,16.37,7.43
22327,Treat thorax spine fracture,A,20.25,17.55,17.55,7.21
22328,Treat each add spine fx,A,4.49,1.51,1.51,1.56
22505,Manipulation of spine,A,1.82,2.0,2.0,0.78
22510,Perq cervicothoracic inject,A,7.7,43.93,2.61,1.16
22511,Perq lumbosacral injection,A,7.15,44.89,2.6,1.07
